date,temperature_2m,cloud_cover,wind_speed_10m,diffuse_radiation,direct_normal_irradiance,shortwave_radiation,location,fetch_timestamp_utc
2025-03-06 05:00:00+00:00,2.7045,0.0,11.879999,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-06 06:00:00+00:00,3.0045,0.0,13.679999,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-06 07:00:00+00:00,3.2045,0.0,13.679999,21.996449,53.42588,27.0,Eelde,2025-03-11 18:01:16.673194
2025-03-06 08:00:00+00:00,4.2045,0.0,12.599999,80.42176,331.0202,142.0,Eelde,2025-03-11 18:01:16.673194
2025-03-06 09:00:00+00:00,6.5545,0.0,12.24,117.293015,500.21735,275.0,Eelde,2025-03-11 18:01:16.673194
2025-03-06 10:00:00+00:00,9.4045,0.0,12.599999,134.82793,615.52264,392.0,Eelde,2025-03-11 18:01:16.673194
2025-03-06 11:00:00+00:00,11.5045,0.0,10.440001,143.76877,662.1387,466.0,Eelde,2025-03-11 18:01:16.673194
2025-03-06 12:00:00+00:00,13.054501,0.0,11.159999,146.46283,691.40015,504.0,Eelde,2025-03-11 18:01:16.673194
2025-03-06 13:00:00+00:00,14.9045,0.0,13.32,145.89911,678.496,490.0,Eelde,2025-03-11 18:01:16.673194
2025-03-06 14:00:00+00:00,15.3545,0.0,12.24,140.9606,629.67633,429.0,Eelde,2025-03-11 18:01:16.673194
2025-03-06 15:00:00+00:00,15.1045,100.0,10.799999,132.40845,445.87442,298.0,Eelde,2025-03-11 18:01:16.673194
2025-03-06 16:00:00+00:00,15.2045,100.0,9.36,94.40156,139.67323,130.0,Eelde,2025-03-11 18:01:16.673194
2025-03-06 17:00:00+00:00,14.2045,97.0,5.7599998,47.763958,108.42327,62.0,Eelde,2025-03-11 18:01:16.673194
2025-03-06 18:00:00+00:00,12.0045,22.0,8.64,3.1025627,0.0,3.0,Eelde,2025-03-11 18:01:16.673194
2025-03-06 19:00:00+00:00,11.2045,0.0,12.599999,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-06 20:00:00+00:00,10.554501,0.0,13.679999,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-06 21:00:00+00:00,9.1545,1.0,12.24,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-06 22:00:00+00:00,8.804501,79.0,12.599999,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-06 23:00:00+00:00,8.2545,0.0,10.440001,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-07 00:00:00+00:00,7.2045,0.0,11.5199995,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-07 01:00:00+00:00,7.0045004,7.0,12.599999,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-07 02:00:00+00:00,6.6045003,11.0,12.24,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-07 03:00:00+00:00,5.5545,7.0,11.159999,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-07 04:00:00+00:00,6.1545,5.0,11.5199995,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-07 05:00:00+00:00,5.4545,54.0,13.32,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-07 06:00:00+00:00,5.5545,0.0,13.32,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-07 07:00:00+00:00,6.3045,0.0,12.959999,22.977734,51.946583,28.0,Eelde,2025-03-11 18:01:16.673194
2025-03-07 08:00:00+00:00,7.0545,41.0,15.119999,82.158875,322.00293,144.0,Eelde,2025-03-11 18:01:16.673194
2025-03-07 09:00:00+00:00,9.6045,2.0,11.879999,119.53291,446.52252,263.0,Eelde,2025-03-11 18:01:16.673194
2025-03-07 10:00:00+00:00,11.9045,0.0,9.72,138.4423,565.28467,378.0,Eelde,2025-03-11 18:01:16.673194
2025-03-07 11:00:00+00:00,14.304501,1.0,10.440001,146.4666,640.6377,462.0,Eelde,2025-03-11 18:01:16.673194
2025-03-07 12:00:00+00:00,15.554501,0.0,9.0,149.47449,668.4769,499.0,Eelde,2025-03-11 18:01:16.673194
2025-03-07 13:00:00+00:00,16.8545,0.0,11.159999,147.3636,672.14325,492.0,Eelde,2025-03-11 18:01:16.673194
2025-03-07 14:00:00+00:00,17.5545,0.0,14.04,141.98114,628.7462,433.0,Eelde,2025-03-11 18:01:16.673194
2025-03-07 15:00:00+00:00,17.0545,0.0,12.24,129.60933,545.34906,335.0,Eelde,2025-03-11 18:01:16.673194
2025-03-07 16:00:00+00:00,16.9545,0.0,10.799999,103.63054,413.06387,211.0,Eelde,2025-03-11 18:01:16.673194
2025-03-07 17:00:00+00:00,16.1045,0.0,7.2,54.514713,205.3549,82.0,Eelde,2025-03-11 18:01:16.673194
2025-03-07 18:00:00+00:00,13.8545,0.0,6.8399997,4.075795,0.0,4.0,Eelde,2025-03-11 18:01:16.673194
2025-03-07 19:00:00+00:00,13.0045,0.0,9.36,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-07 20:00:00+00:00,12.1045,1.0,9.0,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-07 21:00:00+00:00,10.6045,25.0,9.36,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-07 22:00:00+00:00,10.1545,0.0,9.72,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-07 23:00:00+00:00,9.1045,0.0,10.08,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-08 00:00:00+00:00,8.5045,0.0,7.5599995,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-08 01:00:00+00:00,8.2545,0.0,9.36,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-08 02:00:00+00:00,7.8545003,0.0,10.440001,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-08 03:00:00+00:00,7.2545004,3.0,8.64,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-08 04:00:00+00:00,7.1045003,72.0,8.28,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-08 05:00:00+00:00,6.9045,0.0,11.5199995,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-08 06:00:00+00:00,6.4045,1.0,11.159999,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-08 07:00:00+00:00,6.9545,0.0,11.879999,25.632633,73.89048,33.0,Eelde,2025-03-11 18:01:16.673194
2025-03-08 08:00:00+00:00,8.304501,0.0,10.799999,84.683464,349.9709,154.0,Eelde,2025-03-11 18:01:16.673194
2025-03-08 09:00:00+00:00,10.2545,0.0,10.799999,119.83784,513.78394,288.0,Eelde,2025-03-11 18:01:16.673194
2025-03-08 10:00:00+00:00,13.4545,0.0,9.36,136.68718,619.72174,403.0,Eelde,2025-03-11 18:01:16.673194
2025-03-08 11:00:00+00:00,15.7545,0.0,13.32,145.13074,669.9089,479.0,Eelde,2025-03-11 18:01:16.673194
2025-03-08 12:00:00+00:00,16.904501,0.0,14.04,147.86926,696.44434,516.0,Eelde,2025-03-11 18:01:16.673194
2025-03-08 13:00:00+00:00,17.904501,0.0,12.24,146.46397,693.68085,506.0,Eelde,2025-03-11 18:01:16.673194
2025-03-08 14:00:00+00:00,17.8045,0.0,13.32,142.32196,637.8716,441.0,Eelde,2025-03-11 18:01:16.673194
2025-03-08 15:00:00+00:00,17.3045,0.0,16.199999,129.74344,574.22266,349.0,Eelde,2025-03-11 18:01:16.673194
2025-03-08 16:00:00+00:00,17.3045,0.0,15.4800005,105.082275,433.6897,220.0,Eelde,2025-03-11 18:01:16.673194
2025-03-08 17:00:00+00:00,15.6545,0.0,14.04,56.783108,221.57005,87.0,Eelde,2025-03-11 18:01:16.673194
2025-03-08 18:00:00+00:00,13.4045,0.0,13.679999,4.1336956,0.0,4.0,Eelde,2025-03-11 18:01:16.673194
2025-03-08 19:00:00+00:00,12.6045,0.0,12.959999,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-08 20:00:00+00:00,11.1545,0.0,10.799999,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-08 21:00:00+00:00,10.2045,31.0,13.32,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-08 22:00:00+00:00,10.2045,0.0,13.679999,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-08 23:00:00+00:00,9.0045,0.0,14.04,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-09 00:00:00+00:00,8.5045,14.0,14.04,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-09 01:00:00+00:00,8.554501,0.0,14.04,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-09 02:00:00+00:00,7.0545,0.0,13.679999,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-09 03:00:00+00:00,6.8545003,32.0,13.679999,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-09 04:00:00+00:00,6.9045,0.0,13.32,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-09 05:00:00+00:00,5.4045,3.0,14.04,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-09 06:00:00+00:00,5.2045,28.0,14.04,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-09 07:00:00+00:00,5.8545003,80.0,14.04,27.38624,83.82707,36.0,Eelde,2025-03-11 18:01:16.673194
2025-03-09 08:00:00+00:00,6.4545,92.0,13.679999,86.4821,345.47363,157.0,Eelde,2025-03-11 18:01:16.673194
2025-03-09 09:00:00+00:00,8.8545,8.0,12.24,121.33687,502.97903,289.0,Eelde,2025-03-11 18:01:16.673194
2025-03-09 10:00:00+00:00,11.6045,65.0,12.959999,136.97235,635.8141,414.0,Eelde,2025-03-11 18:01:16.673194
2025-03-09 11:00:00+00:00,13.7545,8.0,12.959999,145.3483,679.52655,488.0,Eelde,2025-03-11 18:01:16.673194
2025-03-09 12:00:00+00:00,15.3545,24.0,11.879999,146.84464,718.9655,531.0,Eelde,2025-03-11 18:01:16.673194
2025-03-09 13:00:00+00:00,16.5045,51.0,12.599999,146.36424,705.58905,516.0,Eelde,2025-03-11 18:01:16.673194
2025-03-09 14:00:00+00:00,16.7045,4.0,11.159999,142.00607,656.61707,453.0,Eelde,2025-03-11 18:01:16.673194
